course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Sociology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=137,1,year,,Master of Arts (MA),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our faculty include award-winning, internationally renowned scholars in Social Inequality, Aging & Health, and Population Studies. We also have research expertise in areas such as youth and identity, criminology, and work. Furthermore, we are home to the Centre for Population, Aging and Health.  We are active participants in the collaborative specializations in Migration & Ethnic Relations and Transitional Justice & Post-Conflict Reconstruction.  Moreover, our researchers benefit from the Research Data Centre housed at Western and one of the top academic libraries in the country.
",,,
Public Health,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=114,1,year,,Master of Public Health (MPH),,,,"30,","January,",,,33526.0,6050.0,year,,CAD,,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Master of Public Health Program features real public health issues as the foundation of students' learning, immersing participants in some of the most significant and complex public health crises that our country and globe have experienced. Our MPH Program offers a unique intersection between leadership, policy and sustainability.  During this 12-month, case-based/experiential learning Program, students will have the opportunity to apply their previous work and health-related experience to discuss a wide-range of views and practices while gaining the knowledge and skills to lead in an ever-changing and increasingly challenging public health landscape. 

The case method of learning is not about the traditional lecture-style classroom setting: it is about the student being an active part of the learning experience; that means learning by doing. It introduces complex and often ambiguous real-world scenarios into the classroom, forcing students to think and make decisions often with incomplete and inaccurate data. This prepares graduates for the dynamic conditions they'll encounter in their careers. 

 :
",,,
Public Administration,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=269,2-3,years,,Graduate Diploma (GDip),,,,"5,","February,",,,,,,,CAD,,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western's Graduate Diploma in Public Administration is a professional development program designed for mid-career local government administrators who wish to further their public management skills at the graduate level. Graduate DPA courses offer specialized education in local administration and policy analysis, thoroughly preparing students for the challenges of modern community, urban and regional governance and administration. Successful graduates of this program are strong candidates for the Masters of Public Administration program and, if admitted, will receive advance standing for their work in the Graduate DPA.",,,
Public Administration,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=131,1,year,,Master of Public Administration (MPA),,,,"30,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Psychology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=130,4,years,,Doctor of Philosophy (PhD),,,,"5,","December,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Psychology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=129,2,years,,Master of Science (MSc),,,,"5,","December,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Political Science,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=127,4,years,,Doctor of Philosophy (PhD),,,,"1,","February,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western's Political Science Department is known for the outstanding quality of its research and teaching in Democratic Engagement, Global Justice, Urban Politics and Local Governance, and Research Methods. Our faculty offer expertise and training in all of the traditional subfields, such as Canadian Politics, Comparative Politics, International Relations, Local Government, and Political Theory but also value and encourage work that cuts across and challenges those boundaries. Not only do our faculty and students draw upon multiple theories and methods to solve a wide range of pressing domestic and international problems, we also invent new ones to expand the discipline’s analytical and explanatory power.  If you share these values and want to acquire the skills necessary to put them into practice, we invite you to apply to our PhD program.  ",,,
Physiology and Pharmacology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=121,4,years,,Doctor of Philosophy (PhD),,,,"1,1,31,1,","November,February,July,March,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The goals of this graduate program are to train students in Physiology and Pharmacology. Graduates of the Master's program will be capable of active participation in a research program, and of teaching the disciplines as well as applying physiological, pharmacological and/or toxicological principles in industrial and professional contexts. Graduation from the Doctoral program is an essential step towards a career as an independent researcher in academia, and to obtain higher level professional positions in the biotechnology and pharmaceutical industries, as well as government agencies and research-funding organizations.",,,
Physiology and Pharmacology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=120,2,years,,Master of Science (MSc),,,,"1,1,31,1,","November,February,July,March,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The goals of this graduate program are to train students in Physiology and Pharmacology. Graduates of the Master's program will be capable of active participation in a research program, and of teaching the disciplines as well as applying physiological, pharmacological and/or toxicological principles in industrial and professional contexts. Graduation from the Doctoral program is an essential step towards a career as an independent researcher in academia, and to obtain higher level professional positions in the biotechnology and pharmaceutical industries, as well as government agencies and research-funding organizations.",,,
Political Science,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=126,1,year,,Master of Arts (MA),,,,"1,","February,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western's Political Science Department is known for the outstanding quality of its research and teaching in Democratic Engagement, Global Justice, Urban Politics and Local Governance, and Research Methods. Our faculty offer expertise and training in all of the traditional subfields, such as Canadian Politics, Comparative Politics, International Relations, Local Government, and Political Theory but also value and encourage work that cuts across and challenges those boundaries. Not only do our faculty and students draw upon multiple theories and methods to solve a wide range of pressing domestic and international problems, we also invent new ones to expand the discipline’s analytical and explanatory power.  If you share these values and want to acquire the skills necessary to put them into practice, we invite you to apply to our MA program.  ",,,
